Domain,Word,Definition,TLD
huliau.net,huliau,"turning point, time of change. ",au
hulipahu.net,hulipahu,"second mate of a vessel. lit., binnacle turner. ",hu
ikuwai.net,ikuwai,visiting place in a grass house. ,ai
kahelelani.net,kahelelani,"species of small colored shells, found particularly on Niʻihau; perhaps so called because the shells were used by chiefs. ",ni
homahoma.net,homahoma, ,ma
ikimakua.net,ikimakua,"a kind of stone, as used for making maika stones. ",ua
ipuwai.net,ipuwai,wood rollers laid under a canoe being hauled to prevent it from being scratched or damaged. ,ai
huhuki.net,huhuki,to pull hard or frequently. ,ki
holina.net,holina,"immature and inferior, as breadfruit falling prematurely. ",na
hukekona.net,hukekona,"Hudson, as the river or bay. ",na
ihupani.net,ihupani,"expert, wise person, wisdom. lit., closed nose, perhaps referring to deep diving and hence profound knowledge. ",ni
kahalaopuna.net,kahalaopuna,"a Mānoa beauty, the wife of Kauhi. In the legend gossips told Kauhi that she was unfaithful. He led her to a forest on Ka'ala mountain and slowly beat her to death and buried her under an ʻōhiʻa tree. Passers-by restored her to life. (HM 152-153). In the story as told by Westervelt (Old Honolulu, pp. 128-130), her cruel lover, a Waikiki chief, killed her three times; each time she was resuscitated by an owl god, Pueoaliʻi. lit., the pandanus of Puna. ",na
kahaukomo.net,kahaukomo,"a lua fighting stroke. lit., the blow enters. ",mo
honehone.net,honehone,melodious. ,one
holoikahiki.net,holoikahiki,name of a legendary star (Kep. 77) that guided Hawaiʻinui on his return to Kahikihonuakele after discovering Hawaiʻi. ,ki
huhula.net,huhula,"hula dance by many; to dance the hula, of many. ",la
huinapapalana.net,huinapapalana,"raft. lit., collection of floating boards. ",na
hululua.net,hululua,hook with two barbs. ,ua
ihiakala.net,ihiakala, ,la
ikawaolani.net,ikawaolani,"name of a star. lit., in the mountain area occupied by gods or high chiefs. ",ni
inuwai.net,inuwai,"name of a sea breeze. lit., water drinking. ",ai
honina.net,honina, ,na
huilapalala.net,huilapalala,wheelbarrow. ,la
humulau.net,humulau,to embroider. ,au
kamakama.net,kamakama, ,ma
kakau.net,kakau,"redup. and plural of kau,
   • to place; 
   • to leave imprints; 
   • to stand out, as veins.    ",au
kahuilaokalani.net,kahuilaokalani, ,ni
kahueloiki.net,kahueloiki,unidentified star name. ,ki
kalaunu.net,kalaunu,"crown, corona, diadem,  cf. also pua kalaunu. ",nu
kalamo.net,kalamo,calamus. ,mo
kamipulu.net,kamipulu,damn fool. ,lu
kamaloli.net,kamaloli,"slugs and snails in general; Eulota similaris, a snail. lit., sea-slug child. ",li
kanulu.net,kanulu,"roaring, vibrating sound, as of distant thunder. ",lu
kaiwaenahonua.net,kaiwaenahonua,Mediterranean Sea. ,ua
kalapaiki.net,kalapaiki,kind of stone used for octopus lures. ,ki
kalekana.net,kalekana,"a red- or yellow-flowered succulent (Kalanchoe blossfeldiana), a recent introduction. ",na
kalomela.net,kalomela,calomel. ,la
kamalani.net,kamalani,"child of a chief; a petted child. fig., finicky, fussy. ",ni
kaiokaliana.net,kaiokaliana,Darien Sea. ,na
kakinela.net,kakinela,Cardinal (Catholic Church). ,la
kalakalaiaupuni.net,kalakalaiaupuni,political activity; to do such. ,ni
kamumu.net,kamumu,"   • crunching sound, crunch; to crackle, clatter; 
   • rumbling, 
   • thud, thump, as of footsteps; 
   • roar, as of approaching rain; 
   • rustling, as wind    ",mu
kanekopa.net,kanekopa,Vancouver. ,pa
kanapapiki.net,kanapapiki,son of a bitch. ,ki
kakalema.net,kakalema,Sacrament. ,ma
kakahiki.net,kakahiki, ,ki
kaimake.net,kaimake,Dead Sea. ,ke
kalamela.net,kalamela,caramel. ,la
kakalakeke.net,kakalakeke,cormorant. ,ke
kalapala.net,kalapala,"a kind of Zebrasoma, a fish. ",la
kalewekekona.net,kalewekekona,Galveston. ,na
kanukanu.net,kanukanu, ,nu
kainahai.net,kainahai, ,ai
kakelema.net,kakelema,Sacrament. ,ma
kalolaina.net,kalolaina,Carolina. ,na
kalukalu.net,kalukalu,a fern somewhat like palapalai. ,lu
kaimoni.net,kaimoni,demon. ,ni
kalawina.net,kalawina,"Calvinistic, Congregational. ",na
kalahala.net,kalahala,"atonement, remission of sins; to pardon, absolve from sin, ransom. lit., forgive sin. ",la
kahihikolu.net,kahihikolu, ,lu
kakekimo.net,kakekimo,Catechism. ,mo
kalikone.net,kalikone,cretonne. ,one
